"Sample","Age","Sex","Ethnicity","DTNEW_2R","DTNEW_3R","DTNEW_4R","DTNEW_5R","DTNEW_10R","DTNEW_17R","DTNEW_18R","DTNEW_29R","DTNEW_30R","DTNEW_47R","DTNew_48","DTNew_53","DTNew_58","DTNew_60","DTNew_61","DTNew_63","DTNew_64","DTNew_67","DTNew_69","DTNew_70","DTNew_71","DTNew_72","DTNew_73","DTNew_77","DTNew_82","DTN","DTP","DTN25","DTP25","DTS_1","DTS_2","DTS_3","DTS_4","DTS_5","DTS_7r","DTS_8","DTS_9","DTS_10","DTS_11","DTS_12","DTS_13","DTS_14","DTS_16","DTS_Mean","FDSR_1","FDSR_2","FDSR_3","FDSR_4","FDSR_5","FDSR_6","FDSR_7","FDSR_8","FDSR_9","FDSR_10","FDSR_11","FDSR_12","FDSR_13","FDSR_14","FDSR_15","FDSR_16","FDSR_17","FDSR_18","FDSR_19","FDSR_20","FDSR_21","FDSR_22","FDSR_23","FDSR_24","FDSR_25","FDSR_26","FDSR_27","FDSR_28","FDSR_29","FDSR_30","FDSR_31","FDSR_32","FDSR_33","FDSR_34","FDSR_35","FDSTotPosDir_Mean","TDASS_1","TDASS_2","TDASS_3","TDASS_4","TDASS_5","TDASS_6","TDASS_7","TDASS_8","TDASS_9","TDASS_10","TDASS_11","TDASS_12","TDASS_13","TDASS_14","TDASS_15","TDASS_16","TDASS_17","TDASS_18","TDASS_19","TDASS_20","TDASS_21","TDASS_22","TDASS_23","TDASS_24","TDASS_25","TDASS_Mean","DRS_1","DRS_2","DRS_3r","DRS_4r","DRS_5","DRS_6","DRS_7","DRS_8r","DRS_9","DRS_10","DRS_11r","DRS_12","DRS_13r","DRS_14r","DRS_15","DRS_Mean","GRIT_1","GRIT_2","GRIT_3","GRIT_4","GRIT_5","GRIT_6","GRIT_7","GRIT_8","GRIT_9","GRIT_10","GRIT_11","GRIT_12","GRIT_Mean","GRIT_PESub_mean","RS_1","RS_2","RS_3","RS_4","RS_5","RS_6","RS_7","RS_8","RS_9","RS_10","RS_11","RS_12","RS_13","RS_14","RS_15","RS_16","RS_17","RS_18","RS_19","RS_20","RS_21","RS_22","RS_23","RS_24","RS_25","RS_26","RS_Mean","TRAITNA_Mean","TRAITPA_Mean","STATENA_Mean","STATEPA_Mean","PSS_Mean","Nurgency","SS","persev","Premed","purgency","Tanx","Sanx","Dep","Eat","Alcfreq","Alcprobs","DrugFreq","Drugprobs","Aspd","Bpd","BMTT_Quit","Pasat_Quit","CMTT_Quit","BxComp","ExtDT"
4,22.3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,4,1,3,2,2,4,2,2,2,4,2.85714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.807972267299358,NA,-1.06649248323418,NA,1.13668100041373,-0.725721547271093,0.601427810627459,2.11156628763377,0.779477259548389,0.585499751500936,NA,0.452089597061213,-2.28053102753747,-0.914220715238128,-0.0304017671178781
3,32,0,0,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5,4,4,4,4,5,4,5,5,5,5,5,4.5625,4,2,4,3,5,2,4,3,4,4,3,2,3,3,3.21428571428571,5,5,5,4,5,5,4,5,5,5,4,1,5,3,4,3,5,4,4,4,5,3,4,4,4,3,5,3,4,4,4,5,3,5,3,4.25714285714286,5,4,5,5,5,5,5,5,4,4,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,4.48,3,4,1,4,4,3,3,3,3,3,3,4,4,2,4,3.13333333333333,5,4,5,3,4,5,4,5,1,4,4,5,4.25,4.16666666666667,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,6,7,7,7,6.28,1.26666666666667,4.3,1,4.3,15,29,24,16,11,24,0.0199984633335196,1.3,NA,1.37301587301587,NA,NA,NA,-0.204039401473517,-0.136043241578748,NA,1.31215673413916,1.17032729954949,-1.05330080881753,0.27231159002771,0.835996010985645
2,27,1,0,5,5,5,2,3,4,4,4,3,4,3,4,4,4,3,3,4,2,1,1,1,4,4,3,4,3.83333333333333,3.6,3.8,3.125,4,4,1,5,2,1,4,4,4,3,3,5,5,4,3.64285714285714,4,1,4,2,4,1,2,2,1,1,3,2,5,2,2,2,2,2,2,3,2,2,4,4,2,2,2,2,1,1,2,1,1,3,1,2.05714285714286,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,2,3,2,4,3,2,1,3,4,2,3,2.92222222222222,4,2,4,2,2,3,4,4,3,3,4,2,3.25,3.16666666666667,5,4,5,5,6,4,4,6,4,6,1,5,6,5,6,6,6,6,6,5,7,2,5,5,6,5,5,3.4,3.1,1.73333333333333,1.6,3.1,2.58333333333333,2.41666666666667,1.6,1.54545454545455,1.71428571428571,0.779569058079626,1.45,NA,0.115384615384615,-0.133666687510846,-0.0292236864672922,0.844488260824572,-0.204039401473517,-0.448179182341292,-1.03738336548325,NA,NA,NA,NA,-0.0711924309539272
2,34,0,0,3,3,3,3,2,5,4,4,5,2,4,4,4,4,5,5,5,5,5,5,5,3,4,4,3,3.33333333333333,4.75,3.5,4.26666666666667,2,2,4,2,4,4,4,2,2,2,3,2,2,2,2.5,2,3,2,1,3,3,2,1,3,2,2,1,4,1,2,2,2,2,1,3,2,2,3,2,2,2,2,2,2,1,2,3,2,3,1,2.65714285714286,5,2,2,4,3,3,3,3,3,3,2,4,4,3,4,1,2,3,4,3,4,3,1,4,4,3.48,2,3,3,1,3,3,2,4,3,1,2,3,4,1,4,2.13333333333333,4,3,4,1,2,5,3,3,2,5,4,5,3.16666666666667,4,7,7,7,6,5,5,6,6,6,7,2,5,6,5,4,6,5,3,5,6,5,6,5,3,6,6,4.48,3.26666666666667,1.8,2.8,1.3,2.3,2.25,2.75,1.8,1.45454545454545,1.57142857142857,0.878353617499552,3.2,NA,1.15384615384615,0.0959570271104788,-0.340297975261025,1.90009858685529,6.56164760393902,1.99804433450351,1.34444442550722,NA,NA,NA,NA,-0.478184329637786
3,19,1,0,4,5,5,3,5,5,5,5,2,4,2,4,4,4,5,5,5,2,2,1,2,5,4,5,5,4.4,3.8,4.4,3.26666666666667,2,2,3,2,4,3,3,3,2,2,2,2,2,2,2.5,4,3,4,2,5,5,2,1,3,3,4,1,3,1,3,1,3,3,3,2,4,2,4,1,2,2,2,2,4,2,2,2,1,3,1,2.48571428571429,3,3,3,3,3,5,2,2,3,3,2,3,4,4,1,3,3,3,3,3,4,3,4,4,3,3.48,4,4,3,4,3,3,4,4,2,3,3,3,4,3,3,3,4,4,3,3,2,4,2,4,NA,4,2,3,3.25,3.5,4,6,7,6,5,6,5,7,4,5,6,6,6,4,4,6,6,5,6,7,6,2,6,4,6,4,5.32,2.33333333333333,4.1,1.33333333333333,4.3,17,33,33,20,24,19,0.344076125558788,1.95,NA,2.57936507936508,-0.133666687510846,-0.340297975261025,1.37096965550984,0.852431277267136,0.0701091758838752,NA,1.31215673413916,1.17032729954949,-0.480098250683369,0.373372745170886,-0.875992712412843
4,40.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,2,1,3,2,1,2,3,3,2,2,2.14285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.285682407485018,NA,2.40740983701802,NA,1.13668100041373,0.889243329788082,-2.28234143520164,-1.03889061351582,0.250713713462481,1.07634376666508,NA,0.452089597061213,-1.27795113405056,-0.475223371216383,-0.756719646015584
1,25,1,1,2,2,2,2,1,5,2,1,2,2,3,4,4,5,4,4,2,2,4,4,4,4,5,4,2,1.66666666666667,3,1.6,3.53125,1,1,1,1,1,1,4,5,5,1,1,1,2,1,2.28571428571429,1,1,1,1,2,2,3,1,2,2,2,1,1,1,3,4,3,3,1,1,1,1,1,2,1,2,1,1,2,1,1,3,1,1,1,1.48571428571429,2,1,1,1,4,2,2,2,2,1,2,4,4,2,2,1,3,2,2,2,3,2,2,2,3,2.08,4,3,4,1,2,2,3,1,3,4,4,2,1,2,2,2.46666666666667,4,2,1,3,1,5,1,2,2,5,1,3,2.75,3.83333333333333,4,5,5,7,1,6,4,4,6,6,4,6,6,2,1,2,5,4,3,2,7,5,6,4,5,6,5,3.26666666666667,3.1,3.53333333333333,2.2,3.3,3,2.33333333333333,2.4,1.27272727272727,2.07142857142857,2.75833333333333,3.15,1.52365440689488,1.46153846153846,0.816804195604599,1.4884985457067,1.3853480535054,NA,NA,1.15819647009939,NA,NA,NA,NA,-1.26752096304621
4,44,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,5,5,5,3,4.14285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.367179917282907,NA,-0.553893071706554,NA,-1.5193826437691,-0.90852231796777,-0.471088129025767,-0.204039401473517,-1.56405755523799,-1.22533326867185,NA,0.452089597061213,NA,NA,1.20433862700822
4,24.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,5,5,4,2,5,2,2,4,4,4,3.35714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.19968966216011,NA,-0.901068563222174,NA,-0.456957186095972,-0.90852231796777,0.601427810627459,0.851383527173937,-0.221980512665511,-0.39417745204574,NA,0.452089597061213,0.84146329300687,0.728796660735665,0.405388960220745
4,25.5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,4,4,3,4,2,4,4,4,4,4,4,3.78571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.807972267299358,NA,-1.06649248323418,NA,-1.5193826437691,-0.90852231796777,0.601427810627459,-0.408799233285899,-0.696890644648005,-1.02803299063246,NA,-2.76783704087721,0.488911242450276,-1.20264759344708,1.05907505122868
